i,Title,Author,Publisher,Subjects,ISBN Valid,isbn_clean,cover_url
5789,"Vegan express : en 5, 15, 30 minutes c'est prêt /","Berrué-Pouyet, Aurélie 19..-....",La Plage,Cuisine végétalienne,9782383381020; 2383381020,9782383381020,
5790,Italie du sud /,,Lonely Planet,Italie--sud; Guides touristiques et de visite,9782384921362; 2384921363,9782384921362,
5791,Vernon Subutex : roman /,"Despentes, Virginie",Bernard Grasset,Roman,9782246713517; 224671351X; 9782246857365; 2246857368; 9782246861263; 2246861268,9782246713517,https://covers.openlibrary.org/b/id/7421645-M.jpg?default=false
5792,Vernon Subutex : intégrale /,"Despentes, Virginie",Le Livre de poche,,2253259357; 9782253259350,2253259357,https://covers.openlibrary.org/b/id/7421645-M.jpg?default=false
5793,La poétique de l'espace /,"Bachelard, Gaston",PUF,Espace (philosophie); Philosophie et littérature; Espace--Dans la littérature; Imaginaire (philosophie),9782130814160; 2130814166,9782130814160,https://covers.openlibrary.org/b/id/12347031-M.jpg?default=false
5794,Romans /,"Simenon, Georges, 1903-1989",Gallimard,,2070116743; 9782070116744; 2070116751; 9782070116751,2070116743,https://covers.openlibrary.org/b/isbn/9782070116751-M.jpg?default=false
5795,Sur la télévision ; suivi de L'emprise du journalisme /,"Bourdieu, Pierre",Raisons d'agir éd,journalisme--télévision; journalisme--* sciences sociales; communication de masse--télévision,9782912107008; 2912107008,9782912107008,https://covers.openlibrary.org/b/isbn/2912107008-M.jpg?default=false
5796,Soixante-dix s'efface : journal /,"Jünger, Ernst",Gallimard,"Jünger, Ernst--[document]",9782070701124; 2070701123; 9782070703043; 2070703045; 207073918X; 9782070739189; 2070751228; 9782070751228; 207075328X; 9782070753284,9782070701124,https://covers.openlibrary.org/b/isbn/2070701123-M.jpg?default=false
5797,"Epicure aux enfers : hérésie, athéisme et hédonisme au Moyen Age /","Robert, Aurélien, 1977-",Fayard,Hérésie--Europe--Moyen âge; Christianisme et athéisme--Europe--Moyen âge; Philosophie et religion--Europe--Moyen âge; Épicurisme--Europe--Moyen âge,9782213711744; 2213711747,9782213711744,https://covers.openlibrary.org/b/id/11125556-M.jpg?default=false
5798,Masse et puissance /,"Canetti, Elias, 1905-1994",Gallimard,pouvoir--société de masse,,,
5799,Romans et nouvelles complets /,"Turgenev, Ivan Sergeevich",Gallimard,,2070109801; 9782070109807,2070109801,https://covers.openlibrary.org/b/id/2136057-M.jpg?default=false
5800,La voie cruelle /,"Maillart, Ella",Éditions 24 heures,Asie--1939--[récit de voyage],2826510452; 9782826510451,2826510452,
5801,Romans et récits /,"Kessel, Joseph",Gallimard,,9782072850073; 207285007X; 9782072850103; 207285010X; 9782072889882; 207288988X,9782072850073,
5802,Les origines du totalitarisme ; Eichmann à Jérusalem /,"Arendt, Hannah 1906-1975",Gallimard,"Eichmann, Adolf - procès; antisémitisme; impérialisme; totalitarisme; génocide--Juif--1939 / 1945",9782070758043; 2070758044,9782070758043,https://covers.openlibrary.org/b/id/12756721-M.jpg?default=false
5803,Les microtransitions à la crèche : comment aménager les moments intermédiaires dans le quotidien /,"Gutknecht, Dorothee",LEP Loisirs et Pédagogie,Garderies; Enfants d'âge préscolaire--Soins; Éducateurs de jeunes enfants; Enfants d'âge préscolaire--Éducation,9782606018863; 2606018869,9782606018863,
5804,La face obscure de Rome : [dans le rôle principal Laurent Flutsch]  /,,Infolio,"Flutsch, Laurent,--1961-",9782889680511; 2889680517,9782889680511,
5805,Vers une éducation au service de la vie /,"Rosenberg, Marshall B.",Éditions de l'Homme,Affectivité en éducation; Relations maître-élève; Communication en éducation.,2761952332; 9782761952330,2761952332,
5806,Les coulisses du cinéma /,"Boardman Allsuch, Adam",Gallimard Jeunesse,Cinéma et histoire; Cinéma--Technique; Ouvrages pour la jeunesse,9782075136082; 2075136084,9782075136082,
5807,Burn-out : le détecter et le prévenir : êtes-vous en burn-out sans le savoir ? /,"Vasey, Catherine",Éditions Jouvence,Épuisement professionnel--Prévention,2889530434; 9782889530434,2889530434,
5808,Anti-stress : la méthode simple pour soigner l'anxiété et la déprime /,"Gourion, David, 1971-",Marabout,Guides pratiques; Stress--Psychologie,9782501167314; 2501167317,9782501167314,
5809,Le burn out : travailler à perdre la raison /,"Linhart, Danièle",Le Lombard,Épuisement professionnel; [Bandes dessinées],9782803673032; 2803673037,9782803673032,
5810,Hiver : histoire d'une saison /,"Walter, François, 1950-",Payot,Hiver; Écologie humaine; Culture; Individu et société; Représentations sociales; 17e siècle (2e moitié)-20e siècle (1re moitié); Europe,9782228910224; 2228910228,9782228910224,
5811,Attraper le lapin : roman /,"Bastašić, Lana 1986-....",Gaïa,Roman bosniaque--2000-....; Roman serbe--2000-....,9782330169534; 2330169531,9782330169534,
5812,Le jour où Vicky Dillon Billon n'a pas bu son bol de lait /,"Seydoux, Véronique 1965-....",Rouergue,,9782812623028; 2812623020,9782812623028,
5813,Nom d'une marmotte ! : les Alpes à déplier /,"Christ, Dina",Bergli; Helvetiq,Animaux des montagnes; Animaux--Alpes (chaîne); Ouvrages pour la jeunesse,9783038691327; 3038691321,9783038691327,
5814,Pourquoi les femmes font des burn out : le guide féministe pour en finir scientifiquement avec le cycle infernal du stress /,"Nagoski, Emily",Leduc,Stress lié au travail; Gestion du stress; Épuisement professionnel; Femmes--Psychologie; Charge cognitive,9791028520915,9791028520915,
5815,Prendre soin de l'enfant intérieur : Faire la paix avec soi /,"Thich, Nhat Hanh",Belfond,Réalisation de soi; Moi infantile; Traumatisme psychique; Pleine conscience; Spiritualité; Bouddhisme,9782714453198; 2714453198,9782714453198,
5816,"Connaître, aimer et guérir son enfant intérieur : la solution à (presque) tous les problèmes /","Stahl, Stefanie 1963-....",Le Courrier du livre,Moi infantile.; Affirmation de soi.; Moi infantile; Connaissance de soi; Affirmation de soi,2702914896; 9782702914892,2702914896,
5817,Remue-ménage : produits ménagers maison /,"Beaupré, Marie 1989-....",Les Éditions de l'Homme,Produits d'entretien; Produits naturels; Guides pratiques,2761953231; 9782761953238,2761953231,
5818,Le club des anxieux qui se soignent : comment combattre l'anxiété /,"Fanget, Frédéric",Les Arènes,Anxiety; Anxiety Disorders; Graphic Novel; Anxiété; Psychothérapie; Bandes dessinées,9791037508461,9791037508461,
5819,Flou : une histoire photographique /,,Photo Elysée; Delpire & Co,Flou (esthétique)--Dans l'art; Flou (esthétique)--Photographie; Catalogues d'exposition,9791095821588,9791095821588,https://covers.openlibrary.org/b/id/3133772-M.jpg?default=false
5820,Dépêchez-vous ! /,"Prigent, Andrée",Didier jeunesse,Animaux--Variations saisonnières; Loup; Animaux; Renards; Belette; Neige; Hiver; Livres d'images; [Livres d'images]; [Fictions]; [Ouvrages pour la jeunesse],9782278100620; 2278100629,9782278100620,
5821,D'où vient le chocolat de ma tablette ? /,"Harel, Karine",Tourbillon,Chocolat; Ouvrages pour la jeunesse,9791027609895,9791027609895,
5822,Mon chien qui sert à rien !  /,"Roussey, Christine",De la Martinière Jeunesse,Enfants et animaux; Émotions; Chien; Livres d'images; Ouvrages pour la jeunesse,9791040111290,9791040111290,
5823,Tesla à la plage /,"Chevassus-au-Louis, Nicolas",Dunod,"Tesla, Nikola; Énergie.; Électricité.; Ouvrages de vulgarisation.",9782100850662; 2100850660,9782100850662,
5824,Lucie : demain les animaux /,Wazem,Helvetiq,Voyages dans le temps--Animaux disparus--Bandes dessinées; Bandes dessinées,9782940673926; 2940673926,9782940673926,
5825,Eliot va à l'école /,"Torti, Dominique",Editions Torti,Écoles primaires; Roman pour la jeunesse; Livres (premières lectures),9782970136606; 2970136600,9782970136606,
5826,L'Arbre de l'année : les arbres les plus extraordinaires d'Europe /,"Riera, Lucas",Hélium,Arbres; Ouvrages pour la jeunesse,9782330182090; 2330182090,9782330182090,
5827,Library Lion /,"Knudsen, Michelle",Candlewick Press,"Libraries; Lion; Obedience; Picture books; Fiction; Juvenile works; Lion--Juvenile fiction.; Libraries--Juvenile fiction.; Obedience--Juvenile fiction.; Lion--Romans, nouvelles, etc. pour la jeunesse.; Bibliothèques--Romans, nouvelles, etc. pour la jeunesse.; Obéissance--Romans, nouvelles, etc. pour la jeunesse.",0763622621; 9780763622626,0763622621,https://covers.openlibrary.org/b/isbn/0763622621-M.jpg?default=false
5828,Un meilleur meilleur ami /,"Tallec, Olivier",L’École des loisirs,Amitié; Livres d'images,9782211329439; 2211329438,9782211329439,
5829,Le plus beau livre du monde /,"Mongin, Jean-Paul",Les petits Platons,,9782361650957; 2361650959,9782361650957,
5830,Céleste /,"Cruchaudet, Chloé, 1976-",Soleil,"Albaret, Céleste; Proust, Marcel; Bandes dessinées",9782302095717; 2302095715; 9782302095700; 2302095707,9782302095717,
5831,Ida /,"Cruchaudet, Chloé, 1976-",Delcourt,Bandes dessinées,2756065390; 9782756065397,2756065390,
5832,101 façons de lire tout le temps /,"Fombelle, Timothée de",Gallimard jeunesse,Livres illustrés pour enfants; Enfants--Livres et lecture,2075176493; 9782075176491,2075176493,
5833,Les champions de la mémoire : la méthode extraordinaire pour apprendre aux enfants et aux ados à tout retenir /,"Martinez, Sébastien, 1987-",Premier Parallèle,Mémoire; Mnémotechnique; Apprentissage par le jeu,9782850610875; 2850610879,9782850610875,
5834,Je n'ai rien dit /,"Boyer, Stephanie",Éditions Les 400 coups,Ouvrages pour la jeunesse; Harcèlement en milieu scolaire; Culpabilité; Responsabilité; Entraide; Livres d'images,9782898150845; 2898150843,9782898150845,
5835,Comment naissent les arbres /,"Berbérian, Charles, 1959-",La Martinière jeunesse,Arbres; Forêts; Livres d'images,9791040115618,9791040115618,
5836,Les instruments du monde /,"Billet, Marion",Gallimard jeunesse,Instruments de musique; [Ouvrages pour la jeunesse]; Livres audio; Ouvrages pour la jeunesse,9782070650972; 2070650979; 9782070657353; 2070657353,9782070650972,https://covers.openlibrary.org/b/isbn/2070650979-M.jpg?default=false
5837,Le super week-end de l'océan /,"Alméras, Gaëlle",Maison Georges,Mer; Animaux marins; Mer.; Animaux marins.; Ouvrages pour la jeunesse.,9782382150177; 2382150173,9782382150177,
5838,Le livre des arbres & plantes qui restent à découvrir /,"Tallec, Olivier",Actes Sud Junior,Arbres--Catalogues; Livres d'images,9782330154585; 2330154585,9782330154585,
5839,Responsabilité civile /,"Beck, René",Compendio Bildungsmedien AG; Association pour la formation professionnelle en assurance AFA,Responsabilité civile; Assurance de responsabilité civile; Risque (droit); Droit; privatrechtliche Haftung; Verschuldenshaftung; Kausalhaftung; Vertragshaftung; Vertrauenshaftung; Opferhilfe; Haftungskonkurrenz; Schadenersatz; Genugtuung; Verjährung; Motorfahrzeug-Haftpflichtversicherung; Automobil; Luftfahrzeug; Schiff; internationales Privatrecht; Rechtsgeschichte; Rechtssetzung; Revision(Rechtssetzung); Suisse; Schweiz,9783715575070; 3715575077; 9783715575117; 3715575115; 9783715575155; 3715575158,9783715575070,
5840,Haftung und Versicherung : Beraten und Prozessieren im Haftpflicht- und Versicherungsrecht /,,Helbing & Lichtenhahn,privatrechtliche Haftung; Staats- und Beamtenhaftung; Privatversicherung; Sozialversicherung; Schaden; Genugtuung; Berechnung; strafbare Handlung; Unfall; Responsabilité (droit); Assurances; Sécurité sociale; Dommages-intérêts; Dommage moral; Accidents; Schweiz; Suisse; Grundlagenwerk; [Manuels d'enseignement supérieur],9783719031404; 3719031403,9783719031404,
5841,Introduction to machine learning /,"Alpaydin, Ethem, 1966-",The MIT Press,Intelligence artificielle; Acquisition des connaissances (systèmes experts); Machine learning,9780262043793; 0262043793,9780262043793,https://covers.openlibrary.org/b/id/149377-M.jpg?default=false
5842,Intelligence artificielle : une approche moderne /,"Russell, Stuart 1962-....",Pearson,Intelligence artificielle; Agents intelligents (logiciels); Résolution de problème; Apprentissage automatique; Apprentissage profond; Traitement automatique du langage naturel; Robotique; Éthique appliquée; [Manuels d'enseignement],9782326002210; 2326002210,9782326002210,
5843,Der Werkvertrag /,"Gauch, Peter 1939-....",Schulthess,Werkvertrag; Contrats d'entreprise; Schweiz; Suisse; Grundlagenwerk; [Manuels d'enseignement supérieur],9783725579884; 3725579881,9783725579884,
5844,M&A-Transaktionen nach Schweizer Recht /,"Tschäni, Rudolf 1950-....",Schulthess,Fusion d'entreprises; Entreprises; Acquisitions; Droit; Actions de sociétés; Bourse; Offres publiques d'achat; Acquisition; Investissements étrangers; Kauf; Unternehmung; Fusion; Aktie; Börse; öffentliches Übernahmeangebot; joint venture; Übernahme; Finanzierung(allgemein); Fremdkapital; Suisse; Schweiz,9783725567249; 3725567247,9783725567249,
5845,CPC : Code de procédure civile /,"Chabloz, Isabelle, 1972-",Helbing Lichtenhahn,Procédure civile; Zivilprozess; schweizerische Zivilprozessordnung; Suisse; Schweiz; [Législation]; [Commentaires]; Textreproduktion; Kommentar(Werk),9783719041502; 3719041506,9783719041502,
5846,CPC : Code de procédure civile commenté /,,Helbing Lichtenhahn,Procédure civile; Zivilprozess; Bundesrecht; schweizerische Zivilprozessordnung; Suisse; Schweiz; [Codes]; [Commentaires]; Textreproduktion; Kommentar(Werk),9783719030131; 371903013X,9783719030131,https://covers.openlibrary.org/b/id/10514490-M.jpg?default=false
5847,La responsabilité civile automobile /,"Brehm, Roland, 1932-",Stämpfli,assurance responsabilité civile--automobile--* droit--Suisse; Haftung des Fahrzeughalters; Schweiz,9783727287398; 372728739X,9783727287398,
5848,Schweizerisches Haftpflichtrecht /,"Fellmann, Walter 1955-....",Stämpfli,Responsabilité civile; Transport; Droit; Radioprotection; privatrechtliche Haftung; Schaden; Widerrechtlichkeit; Kausalzusammenhang; Verschuldenshaftung; Haftung aus unerlaubter Handlung; einfache Kausalhaftung; Haftung des Urteilsunfähigen; Geschäftsherrenhaftung; Tierhalterhaftung; Werkeigentümerhaftung; Grundeigentümerhaftung; Haftung des Familienhauptes; Produktehaftung; Schadenersatz; Genugtuung; Solidarität; Verjährung; Begriff; Voraussetzung(allgemein); Berechnung; Kausalhaftung; Strahlenschutz; Gefährdungshaftung; zivilrechtliche Haftung des Fahrzeughalters; Eisenbahn(Transportmittel); Eisenbahnverkehr; Bahnanlage; Personenbeförderung; Verkehrs- und Transportbetrieb; Konzessionär; Luftseilbahn; Schifffahrt; Bus; Zivilluftfahrt; Suisse; Schweiz; [Manuels d'enseignement supérieur]; Grundlagenwerk,9783727286742; 3727286741; 9783727286872; 3727286873; 9783727286964; 3727286962,9783727286742,
5849,Schweizerisches Haftpflichtrecht /,"Honsell, Heinrich 1942-....",Schulthess,Responsabilité (droit); Haftung aus unerlaubter Handlung; Kausalhaftung; Gefährdungshaftung; Suisse; Schweiz; [Manuels d'enseignement supérieur]; Grundlagenwerk,9783725568727; 3725568723; 9783725569465; 3725569460,9783725568727,
5850,Psychologie de l'accompagnement : concepts et outils pour développer le sens de la vie et du travail /,,Dunod,Accompagnement individuel; Counseling,9782100724208; 2100724207,9782100724208,https://covers.openlibrary.org/b/id/10506887-M.jpg?default=false
5851,"Spinoza avait raison : joie et tristesse, le cerveau des émotions /","Damasio, Antonio R",O Jacob,cerveau--émotion,2738112641; 9782738112644,2738112641,https://covers.openlibrary.org/b/id/3127064-M.jpg?default=false
5852,Ingénierie et évaluation des compétences /,"Le Boterf, Guy",Eyrolles,compétence professionnelle - évaluation--ingénierie,9782212547771; 2212547773,9782212547771,https://covers.openlibrary.org/b/id/3118740-M.jpg?default=false
5853,La famille Martin : roman /,"Foenkinos, David",Gallimard,,9782072913068; 2072913063,9782072913068,https://covers.openlibrary.org/b/id/10469112-M.jpg?default=false
5854,"Servitudes, territoire et approvisionnement énergétique : trio explosif ? /",,Helbing Lichtenhahn; Faculté de droit de l'Université de Neuchâtel,Grundeigentum; Planungsrecht; Dienstbarkeit; Raumplanung und öffentliches Baurecht; Energieversorgung; Schweiz; Actes de congrès,9783719046330; 3719046338,9783719046330,
5855,Die Verdichtung des bebauten Umfelds und ihr Einfluss auf Immobiliengeschäfte : Beiträge der Weiterbildungsseminare der Stiftung Schweizerisches Notariat vom 21. August 2017 in Zürich und vom 14. September 2017 in Lausanne = La densification du territoire et son impact sur les transactions immobilières : contributions des séminaires de formation continue organisés par la Fondation Notariat Suisse le 21 août 2017 à Zurich et le 14 septembre 2017 à Lausanne /,,Schulthess,Densification urbaine; Aménagement du territoire; Résidences secondaires; Biens (droit); Servitudes; Immeubles d'habitation; Droit public; Droit civil; Droit de superficie; Bodenpolitik; Bauzone; Nutzungsmass; Erhöhung(allgemein); Bauland; Knappheit; Wirkung; Grundeigentum; Suisse; Schweiz; [Actes de congrès],9783725579761; 3725579768,9783725579761,
5856,Les surfaces d'assolement : étude de droit de l'aménagement du territoire /,"Bays, Vincent",Schulthess,Fruchtfolgefläche; Sachplan; Natur- und Heimatschutz; Raumplanung und öffentliches Baurecht; Schweiz,9783725583171; 372558317X,9783725583171,
5857,La contractualisation en droit public /,,Schulthess Editions romandes,Staatsorganisation und Verwaltung; verwaltungsrechtlicher Vertrag; Rechtsvergleichung; Schweiz; Belgien; Deutschland; Europa,9783725587773; 3725587779,9783725587773,
5858,"Gênes : Ligurie, Cinqueterre : 2023-2024",,Nouvelles éditions de l'Université,Gênes (Italie); Ligurie (Italie); Cinqueterre (Italie); Guides touristiques et de visite,9782305075532; 2305075537,9782305075532,https://covers.openlibrary.org/b/id/133936-M.jpg?default=false
5859,Turin : insolite et secrète /,,Editions Jonglez,Turin (Italie)--Guides touristiques et de visite,9782361956332; 2361956330,9782361956332,https://covers.openlibrary.org/b/id/22237-M.jpg?default=false
5860,54 plantes sauvages comestibles de Suisse romande et France voisine : se nourrir des cadeaux de la nature /,"Berthoud, Michaël",Attinger,Plantes comestibles--Suisse romande; Plantes comestibles--France; Guides pratiques,9782882562876; 288256287X,9782882562876,
5861,Der verwaltungsrechtliche Vertrag in der Praxis /,,Schulthess,contrat de droit administratif--Suisse--[congrès]; verwaltungsrechtlicher Vertrag; Schweiz,9783725554140; 3725554145,9783725554140,
5862,Prague,,Michelin,Prague (Tchéquie); Guides touristiques et de visite,9782067238008; 2067238000,9782067238008,https://covers.openlibrary.org/b/id/458737-M.jpg?default=false
5863,Loi fédérale sur la protection des données /,,Helbing Lichtenhahn,Privacy; Switzerland; Legislation; Datenschutz; Bundesgesetz über den Datenschutz; Schweiz; Textreproduktion; Kommentar(Werk),9783719042837; 3719042839,9783719042837,
5864,Lavaux : patrimoine bâti /,"Corthésy, Bruno",Société d'histoire de l'art en Suisse; Presses centrales,"Monuments historiques--Lavaux (Suisse, district, VD); Lavaux (Suisse, district, VD)--Circuits touristiques",9783037978085; 3037978082,9783037978085,
5865,Le domaine d'Hauteville : du château au campus universitaire /,,Slatkine,"Châteaux--Hauteville (Suisse, VD)",9782832112656; 283211265X,9782832112656,
5866,"Russes et Ukrainiens : les frères inégaux, du Moyen Âge à nos jours /","Kappeler, Andreas",CNRS Éditions,Relations extérieures--Russie--Ukraine--Histoire,9782271142412; 2271142415,9782271142412,
5867,Schweizerisches Staatshaftungsrecht /,"Uhlmann, Felix 1969-....",Dike,Staatshaftung; Rechtsvergleichung; Bundesrecht; kantonales Recht; international; Immunität; Schweiz; Aargau; Appenzell Ausserrhoden; Appenzell Innerrhoden; Basel-Landschaft; Basel-Stadt(Kanton); Bern(Kanton); Freiburg(Kanton); Genf(Kanton); Glarus(Kanton); Graubünden; Jura; Luzern(Kanton); Neuenburg(Kanton); Nidwalden; Obwalden; Sankt Gallen(Kanton); Schaffhausen(Kanton); Schwyz(Kanton); Solothurn(Kanton); Tessin(Kanton); Thurgau; Uri; Waadt; Wallis; Zug(Kanton); Zürich(Kanton),9783037519240; 303751924X,9783037519240,
5868,Schweizerisches Staatshaftungsrecht : Ergänzungsband zur 2. Auflage /,"Gross, Jost",Stämpfli,État - Responsabilité (droit international); Droit administratif; Staatshaftung; Suisse; Schweiz; [Manuels d'enseignement supérieur]; Grundlagenwerk,9783727279911; 3727279915; 9783035410174; 3035410178,9783727279911,
5869,Intégrale des 180 sermons /,"Eckhart, Meister",Almora,Sermons--Moyen âge.; Mystique rhénane.,9782351185094; 2351185099,9782351185094,
5870,La qualité pour recourir en droit de l'aménagement du territoire et de l'environnement : étude de droit fédéral vaudois /,"Pfeiffer, Laurent, 1982-",Schulthess,Parties (procédure); Locus standi; Recours administratifs; Aménagement du territoire; Environnement; Droit; Beschwerdelegitimation; Bundesrecht; kantonales Recht; Verwaltungs- und Verwaltungsgerichtsverfahren; kantonales Rechtsmittel; Beschwerde in öffentlich-rechtlichen Angelegenheiten; Raumplanung und öffentliches Baurecht; Umweltschutz; Natur- und Heimatschutz; Vaud (Suisse); Suisse; Schweiz; Waadt; Suisse - Cantons; [Thèses et écrits académiques],,,
5871,International and domestic arbitration in Switzerland /,"Berger, Bernhard",Nomiki Bibliothiki; Nomos; Hart Publishing; CH Beck; Stämpfli Publishers,internationale Schiedsgerichtsbarkeit; Schiedsgerichtsbarkeit; interkantonal; Schweiz; Grundlagenwerk,9783727219757; 3727219750; 9781509958993; 1509958991; 9783848784806; 3848784807; 9783406785481; 3406785484; 9789606545245; 9606545245,9783727219757,
5872,L'égalité entre femmes et hommes dans les relations de travail : 1996-2016: 20 ans d'application de la LEg = Die Gleichstellung von Frau und Mann in der Arbeitswelt : 1996-2016: 20 Jahre Gleichstellungsgesetz /,,Schulthess Ed Romandes,"Suisse.--""Loi fédérale sur l'égalité entre femmes et hommes""; Égalité de rémunération; Travail; Égalité des sexes; 1996-2016; Lois - Application; Droit du travail; Droits de l'homme; Discrimination sexuelle; Gleichheit von Mann und Frau; Arbeitsrecht; Einzelarbeitsvertrag; Suisse; Schweiz; [Actes de congrès]",9783725585779; 3725585776,9783725585779,
5873,Kommentar zum Gleichstellungsgesetz /,,Helbing Lichtenhahn,rechtsgleiche Behandlung; Gleichheit von Mann und Frau; Bundesgesetz über die Gleichstellung von Frau und Mann; Schweiz; Textreproduktion; Kommentar(Werk),9783719044244; 3719044246,9783719044244,
5874,Panorama IV en droit du travail : recueil d'études réalisées par des praticiens /,,Stämpfli Editions,Arbeitsrecht; Einzelarbeitsvertrag; Lohngleichheit; Zivilprozess; Sozialversicherung; Datenschutz; Schweiz,3727251522; 9783727251528,3727251522,
5875,"Droit public de la construction : sources et fondements, aménagement du territoire, règles de construction, police de la construction, protection de l'équilibre écologique, procédure /","Zufferey, Jean-Baptiste, 1960-",Stämpfli Editions,Raumplanung und öffentliches Baurecht; ökologisches Gleichgewicht; Umweltschutz; Natur- und Heimatschutz; Lehrmittel; Baurecht; Raumordnungsrecht; Schweiz,3727227931; 9783727227936,3727227931,
5876,Bundesgesetz über Schuldbetreibung und Konkurs /,,Helbing Lichtenhahn,Schuldbetreibungs- und Konkursrecht; Bundesgesetz über Schuldbetreibung und Konkurs; Bundesgesetz über die Schuldbetreibung gegen Gemeinden; ALV; Arbeitslosenversicherungsgesetz; Insolvenzentschädigung; Schweiz; Textreproduktion; Kommentar(Werk),9783719031657; 3719031659,9783719031657,
5877,"L'image de l'artiste : légende, mythe et magie : un essai historique /","Kris, Ernst",Rivages,artiste - image,2869300980; 9782869300989,2869300980,
5878,"Programme et invention dans l'art de la Renaissance : [actes du colloque de Rome, Villa Médicis, 20-23 avril 2005] /",,Somogy,art européen--invention--programme--Renaissance--[congrès],9782757200124; 2757200127,9782757200124,
5879,"Impressionism and the modern landscape : productivity, technology, and urbanization from Manet to Van Gogh /","Rubin, James Henry",University of California Press,impressionnisme--industrialisation--paysage--peinture française--[catalogue d'exposition],9780520248014; 0520248015,9780520248014,https://covers.openlibrary.org/b/id/2469165-M.jpg?default=false
5880,Medieval boundaries : rethinking difference in old french literature /,"Kinoshita, Sharon",University of Pennsylvania Press,"French literature--To 1500--History and criticism; français (langue, ancien)--français (langue, moyen)--littérature française--origines / Moyen-Âge",9780812239195; 0812239199,9780812239195,https://covers.openlibrary.org/b/id/603041-M.jpg?default=false
5881,Peut-on appliquer la littérature à la psychanalyse? /,"Bayard, Pierre, 1954-",Les Ed de Minuit,littérature--psychanalyse,2707318663; 9782707318664,2707318663,https://covers.openlibrary.org/b/id/2159878-M.jpg?default=false
5882,Traduction et violence /,"Samoyault, Tiphaine",Seuil,Traduction; Traduction--Aspect moral,9782021451788; 202145178X,9782021451788,
5883,"Oeuvres complètes : [livres, textes, entretiens] /","Barthes, Roland, 1915-1980",Ed du Seuil,,2020567318; 9782020567312; 2020567253; 9782020567251; 202056727X; 9782020567275; 2020567288; 9782020567282; 2020567296; 9782020567299; 202056730X; 9782020567305,2020567318,https://covers.openlibrary.org/b/isbn/9782020567251-M.jpg?default=false
5884,Devant le temps : histoire de l'art et anachronisme des images /,"Didi-Huberman, Georges",Les Ed de Minuit,histoire de l'art (discipline)--temporalité,2707317268; 9782707317261,2707317268,https://covers.openlibrary.org/b/isbn/9782707317261-M.jpg?default=false
5885,La raison graphique : la domestication de la pensée sauvage /,"Goody, Jack, 1919-",Ed de Minuit,langage--* ethnologie; écriture--* ethnologie,2707302406; 9782707302403,2707302406,https://covers.openlibrary.org/b/isbn/2707302406-M.jpg?default=false
5886,Penser l'image /,,Les Presses du réel,image--[études diverses]; iconologie--[études diverses],9782840663430; 2840663430; 9782840665571; 2840665573; 9782840665588; 2840665581,9782840663430,https://covers.openlibrary.org/b/isbn/2840663430-M.jpg?default=false
5887,Théâtre complet /,"Marivaux, Pierre de, 1688-1763",Gallimard,,2070113566; 9782070113569,2070113566,https://covers.openlibrary.org/b/isbn/2070113566-M.jpg?default=false
5888,Au bout de la langue /,"Rueff, Martin 1968-....",Nous,Philosophie du langage; Langue (anatomie),9782370841322; 237084132X,9782370841322,
5889,Oskar Kokoschka : Un fauve à vienne /,,Paris Musées,"Kokoschka, Oskar; Catalogues d'exposition",9782759605347; 2759605345,9782759605347,https://covers.openlibrary.org/b/id/2240776-M.jpg?default=false
5890,"Eileen Gray, sa vie, son oeuvre /","Adam, Peter",La Différence,"Gray, Eileen; [Ouvrages généraux]",9782729120078; 2729120076,9782729120078,
5891,Passés singuliers : le «je» dans l'écriture de l'histoire /,"Traverso, Enzo",Lux,Épistémologie historique,9782895963332; 2895963339,9782895963332,https://covers.openlibrary.org/b/id/10841047-M.jpg?default=false
5892,"L'Union nationale, 1932-1939 : un fascisme en Suisse romande /","Joseph, Roger, Docteur ès sciences politiques",Impr centrale; Ed de la Baconnière,fascisme--Union nationale (Suisse romande)--1932 / 1939,,,
5893,Mécano : roman /,"Filice, Mattia",POL,,9782818056660; 2818056667,9782818056660,
5894,Saint-Preyardises : témoignages d'une époque /,"Pittolaz, Sandrine",Imprimerie de Marcelin; Municipalité de Saint-Prex,"Saint-Prex (Suisse, VD)--Histoire; Saint-Prex (Suisse, VD)--Récits personnels",,,
5895,Mais qu'est-ce qu'elles voulaient ? : histoires de vie du MLF à Genève /,,Ed d'en bas,"féminisme--Mouvement de libération des femmes--Genève (Suisse, canton)--1971 / 1983",2829002423; 9782829002427,2829002423,
5896,"""Notre ventre, leur loi !"" : le Mouvement de libération des femmes de Genève /","Villiger, Carole",Ed Alphil,"Mouvement de libération des femmes--Genève (Suisse, canton)--1971 / 1980; association féminine--féminisme--mouvement social--Genève (Suisse, canton)--1971 / 1980",9782940235452; 2940235457,9782940235452,https://covers.openlibrary.org/b/id/13307951-M.jpg?default=false
5897,Dictionnaire critique du féminisme /,,Presses universitaires de France,féminisme--[dictionnaire],2130524176; 9782130524175,2130524176,https://covers.openlibrary.org/b/id/3087659-M.jpg?default=false
5898,La sociologie de Erving Goffman /,"Nizet, Jean",Editions La Découverte,"Goffman, Erving; Sociologie; Critique; Interprétation; École de Chicago (sociologie); Communication interpersonnelle; Interaction sociale",9782707179111; 2707179116,9782707179111,
